,Episode,Description,Duration,Year,Series
139,Ep 301 - Call Me James,"Out of the drug game, James is ready to leave ""Ghost"" behind. Angela must decide between love and honor. Tasha reels from the death of Shawn. Tommy is forced to make some bold moves.",61 MINS,2016,Power
140,Ep 302 - It's Never Over,"Ghost scrambles to tie up loose ends while he deals with new nightlife competition. Tommy confronts Tasha, as she and Angela must learn to coexist. Tommy gains an advisor in his returned love, Holly.",59 MINS,2016,Power
141,Ep 303 - I Got This On Lock,"Ghost is presented with an opportunity that could take the clubs to the next level, all while looking over his shoulder. Tommy reunites with Tasha in a scheme, while he also tries to keep a ...",61 MINS,2016,Power
142,"Ep 304 - Don't Worry, Baby","As the opportunity to expand the clubs evolves, Ghost is spread even thinner between Angela, the kids, business, and Tommy. Tommy struggles with a decision, Kanan gets back into the life, an...",53 MINS,2016,Power
143,Ep 305 - Help Me,"Tommy searches for who made the attempt on his life. Greg leans on Ruiz to give up the true ""Ghost"", while Angela does all she can to keep them away. Proctor informs Ghost he may have a new problem.",61 MINS,2016,Power
144,Ep 306 - The Right Decision,"Tommy and Ghost reunite to take out a dangerous foe, enlisting Tasha in a plan to escape detection by Angela and her team. While Tommy soldiers forward, Ghost loses control at a crucial moment.",61 MINS,2016,Power
145,Ep 307 - Don't Go,"Angela reels after her breakup, but must face some difficult questions at work. Ghost must scramble to not lose the club deal, while he and Tommy are forced back into the game. Dre learns th...",60 MINS,2016,Power
146,Ep 308 - Trust Me,"Mike and Angela hunt for the mole. Angela gets a lead, while she must solidify Tommy's alibi. Tasha receives a warning as Tariq makes a dangerous new friend. Milan issues an edict to push a ...",61 MINS,2016,Power
147,Ep 309 - I Call The Shots,"Angela takes action to find the mole, while Ghost makes a move to regain the club deal. Ghost and Tasha fall into a familiar role while Kanan has a dark influence on Tariq. Milan warns Tommy...",61 MINS,2016,Power
148,Ep 310 - In My Best Interest,"Ghost races to retrieve evidence, while he throws the party of his career. Tasha forms an unlikely alliance in an attempt to save her family. But will Tommy make a move that will change ever...",61 MINS,2016,Power
149,Ep 401 - When I Get Out,"Having been arrested for the murder of Agent Knox, Ghost faces threats from all angles. The Feds begin to build their case and Tasha scrambles to get bail. Tommy navigates his new role and e...",60 MINS,2017,Power
150,Ep 402 - Things Are Going To Get Worse,Proctor works to protect his client as Ghost faces harassment. The team discusses their strategy for taking down St. Patrick. Tommy struggles to let go of his old duties. Tasha talks to the ...,60 MINS,2017,Power
151,Ep 403 - The Kind Of Man You Are,"The prosecutors turn up the heat, forcing Tommy to execute a plan that diverts their attention. Teresi learns information about Ghost and begins a blackmail scheme. And in his father's absen...",61 MINS,2017,Power
152,Ep 404 - We're In This Together,Mak brings Angela back onto the prosecution team and gives her a task that brings her face-to-face with Tasha. Julio struggles to manage the primeras below him and Tommy's behavior. Tariq co...,61 MINS,2017,Power
153,Ep 405 - Don't Thank Me,"With tensions high, Silver warns Ghost that Tasha may have to testify. Meanwhile, now aware of Ghost's innocence, Angela struggles to find a way to stop the prosecution. And Teresi sets a pl...",61 MINS,2017,Power
154,Ep 406 - New Man,"Returning to Truth - Ghost finds himself trapped in a new business venture. Tommy escapes to Chicago for a meeting that takes a turn. And with Ghost released, Jukebox and Kanan revisit their...",58 MINS,2017,Power
155,Ep 407 - You Lied To My Face,"As Ghost moves forward with his new business, the St. Patrick family is thrust into the public eye. Tasha seeks out Silver and their relationship deepens. When Tommy returns, Dre talks himse...",62 MINS,2017,Power
156,Ep 408 - It's Done,"When Ghost sees the location for the business is gang-infested, he re-teams with Tommy to clean it up. As Tommy threatens war, his organization starts to destabilize. And, unhappy, Tariq loo...",61 MINS,2017,Power
157,Ep 409 - That Ain't Me,"When Ghost realizes he's getting screwed, he starts playing dirty. After meeting the boss, Angela explores other options. Tommy gets proof that paints Kate in a new light. And with people af...",61 MINS,2017,Power
158,Ep 410 - You Can't Fix This,"When tragedy befalls the St. Patrick family, Ghost and Tommy seek retribution. Tasha tries to keep things together at home. Meanwhile, Angela uses her own skills resources to figure out what...",61 MINS,2017,Power
159,Ep 501 - Everyone Is Implicated,"James ""Ghost"" St. Patrick forms a dangerous alliance with his brother-in-arms, Tommy, and mortal enemy Kanan. Angela is implicated in murder and turns to an unlikely ally. Tasha enlists LaKe...",58 MINS,2018,Power
160,Ep 502 - Damage Control,"The St. Patrick family grieves Raina while the AUSA's office discusses taking down ""Ghost"" and ending Angela's career. Councilman Tate exploits Raina's death. Dre maintains order within his ...",61 MINS,2018,Power
161,Ep 503 - Are We On The Same Team?,"Ghost and Tasha butt heads on how to grieve. Angela pursues the Jimenez Cartel while Kanan goes after Dre's organization. Tommy confides in LaKeisha about his relationship with Teresi, compl...",61 MINS,2018,Power
162,Ep 504 - Second Chances,Tensions run high when Jason returns. Ghost warns Tommy about Teresi while he hatches a plan with Kanan to rid Tommy of his new family. Angela gets closer to arresting the Jimenez Cartel. Ka...,61 MINS,2018,Power
163,Ep 505 - Happy Birthday,"The St. Patricks celebrate Tariq's birthday without Raina. Ghost is on the outs with Tate and learns Dre is ready to replace him in the legitimate world. Kanan drops Tariq at school, bonding...",61 MINS,2018,Power
164,Ep 506 - A Changed Man?,"After his spiritual awakening with Rev. Macedon, Ghost confesses his sins to Angela. Angela preps Tasha for Federal questioning and Ghost must break his business deal with Tommy when Truth i...",62 MINS,2018,Power
165,Ep 507 - The Devil Inside,"Ghost, Tommy and Kanan move forward with their task to kill the heads of the Jimenez Cartel. Donovan warns Angela that her own office is after her. LaKeisha lets slip that Teresi is Tommy's father.",61 MINS,2018,Power
166,Ep 508 - A Friend of the Family,"The AUSA turns up the heat on Ghost and implicates his inner circle in on a RICO. Ghost and Tommy plan to frame Dre for the murder of Raymond Jones, Raina's killer, while Angela and Tasha en...",62 MINS,2018,Power
167,Ep 509 - There's A Snitch Among Us,"When Angela's arrest of Jimenez gives her a solid win, she discovers plans that would undercut her career. Ghost tasks Tommy in killing a snitch, changing all of their lives. Tariq accepts t...",62 MINS,2018,Power
168,Ep 510 - When This Is Over,"When the RICO case comes crashing down, Angela breaks ranks to form her own A-team. LaKeisha takes a stand of her own while Ghost, Tommy, Tasha, and Angela race against the clock to prove th...",71 MINS,2018,Power
169,Ep 601 - Murderers,Ghost seeks vengeance due to the ill will of Tommy Egan. Tasha vows to get even with Ghost for the murder of Terry Silver. Tariq and Tommy mourn an old friend. The AUSA's Office is under new...,57 MINS,2019,Power
170,Ep 602 - Whose Side Are You On?,Tommy lays low after his mustang is riddled with bullets. Tensions run high with Ghost and Jason. Tommy enlists LaKeisha to help with his business. Tasha confronts Ghost about Terry Silver.,59 MINS,2019,Power
171,Ep 603 - Forgot About Dre,Dre remains in Fed custody. Jason tasks Tommy and Ghost to kidnap Alicia Jiminez. Tommy teaches LaKeisha the drug game. Tariq's business begins to flourish. Tasha has a business plan of her own.,59 MINS,2019,Power
172,Ep 604 - Why Is Tommy Still Alive?,Tasha sparks a new flame. Ghost utilizes his resources in an attempt to kill Tommy. Tariq's in over his head with the Italians and Dre forms an unlikely alliance. Proctor hatches a plan to g...,58 MINS,2019,Power
173,Ep 605 - King's Gambit,Tasha revisits old habits when she begins to recruit soldiers for her new empire. Tariq pulls a ruse on Vincent. Proctor warns Tommy about a snitch. Ghost plans to take care of the snitch on...,59 MINS,2019,Power
174,Ep 606 - Inside Man,"After being duped by Tariq, Vincent holds Tariq hostage. Ghost and Tommy call a temporary truce in order to face a common enemy. Tasha puts her differences to the side and turns to an unlike...",58 MINS,2019,Power
175,"Ep 607 - Like Father, Like Son","As the St. Patrick family is reunited, Ghost and Tasha butt heads on how to raise Tariq. LaKeisha creates new enemies within Tommy's organization. Jason tasks Ghost and Tommy to work together.",58 MINS,2019,Power
176,Ep 608 - Deal With The Devil,"The Feds turn the heat up on Tommy and scare LaKeisha into cooperating. Ghost discontinues a relationship with an ally. Tasha confronts a snitch, which hits a little too close to home.",59 MINS,2019,Power
177,Ep 609 - Scorched Earth,"As Ghost and Tommy move forward with their plan to kill Jason, Tommy enacts a plan of his own. Dre uses a ruse to force Tommy's organization to rebel against him. Tommy battles the kin of on...",58 MINS,2019,Power
178,Ep 610 - No One Can Stop Me,"Ghost is on top of the world. Meanwhile the Feds work to prove St. Patrick is guilty for the murder of Terry Silver. But when Ghost makes a political move, it triggers resentment from his ma...",77 MINS,2019,Power
179,Ep 611 - Still DRE,"After being framed by Ghost for the murder of Jason Micic, Dre (with nowhere to run) plans on leaving New York. But first he needs to take care of unfinished business.",59 MINS,2020,Power
180,Ep 612 - He Always Wins,"Paz, still grieving Angela's death, seeks allies in the pursuit of justice–or vengeance. She forms an alliance with Warner. They hatch a plan to arrest Ghost for the murder of Angela. But th...",59 MINS,2020,Power
181,Ep 613 - It's All Your Fault,Tommy is on a path to avenge LaKeisha's murder. Elisa Marie investigates whats on the USB stick given to her by her father. Tommy must destroy the evidence and he might need Ghost's help to ...,59 MINS,2020,Power
182,Ep 614 - Reversal of Fortune,Tensions run high when Tate tasks Dre to kill Ghost. Tate's hatred toward St. Patrick motivates him to lie during a Federal questioning. The Feds are in striking distance of convicting St. P...,58 MINS,2020,Power
183,Ep 615 - Exactly How We Planned,When Ghost is announced as Lt. Governor it gives him a solid win and makes him one step closer to a fully legitimate world. He soon discovers one of his many enemies carrying out a plan that...,80 MINS,2020,Power
184,Ep 101 - Perpetratin',"Autumn Night, a mysterious beauty with a harrowing past, washes up on the shores of the Pynk seeking employment. Mercedes Sundayz, a night headlined by the club's OG, brings unexpected troub...",60 MINS,2020,P-Valley
185,Ep 102 - Scars,"The Pynk's annual carwash receives a visit from a surprising guest while Autumn's past comes back to haunt her. Back at the club, souls are bared, and deals are negotiated in the private booths.",60 MINS,2020,P-Valley
186,Ep 103 - Higher Ground,"Autumn dons a bold new look and learns the rules of working a ""regular"" from The ""Trinity,"" each of whom receives a visit from her favorite repeat customer. Uncle Clifford learns about big c...",58 MINS,2020,P-Valley
187,Ep 104 - The Trap,"Mercedes and Autumn make major moves toward building new lives for themselves. At the Pynk, gossip spreads like wildfire, and patrons flood in for a big night.",51 MINS,2020,P-Valley
188,Ep 105 - Belly,"Two foes find themselves trapped together for a weekend under unlikely circumstances. Keyshawn reaches new heights, and Lil' Murda glows up big time.",57 MINS,2020,P-Valley
